Order, Trial, TRep, TColor, TRepCount, TOrient, TLoc, Subject, Block, Reward, HighRewardRepCount, LowRewardRepCount, Response, Accuracy, RT, ScanStartHour, ScanStartMin, ScanStartSec, Hour, Min, Sec, ElapsedTime, SOA
      1,       1,       0,       1,       0,       1,       1,    1991,       1,       1,       0,       0,       1,       1, 521.0726, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 0.6188, 1617.4450, 0.9223
      6,       2,       1,       1,       1,       1,       1,    1991,       1,       2,       0,       0,       1,       1, 452.1224, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 4.1033, 5101.9831, 0.5003
     43,       3,       2,       2,       0,       2,       3,    1991,       1,       1,       0,       0,       2,       1, 538.9345, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 7.7049, 8703.5410, 0.7144
     75,       4,       2,       1,       0,       2,       5,    1991,       1,       1,       0,       1,       2,       1, 542.6843, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 11.5730, 12571.6250, 0.8869
     19,       5,       2,       2,       0,       1,       2,    1991,       1,       1,       0,       2,       1,       1, 675.7858, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 14.7242, 15722.8901, 0.1635
     91,       6,       2,       1,       0,       2,       6,    1991,       1,       1,       0,       3,       2,       1, 561.9535, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 17.9588, 18957.4320, 0.1280
     18,       7,       1,       1,       1,       1,       2,    1991,       1,       2,       0,       0,       1,       1, 525.2345, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 21.7602, 22758.9011, 0.7915
     86,       8,       1,       1,       2,       1,       6,    1991,       1,       2,       1,       0,       1,       1, 453.2394, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 25.3951, 26393.7480, 0.6780
     77,       9,       1,       1,       3,       2,       5,    1991,       1,       1,       0,       0,       2,       1, 667.1031, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 28.8799, 29878.4850, 0.5858
     45,      10,       1,       1,       4,       2,       3,    1991,       1,       1,       0,       1,       2,       1, 663.9626, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 32.6980, 33696.6660, 0.7053
     30,      11,       1,       1,       5,       2,       2,    1991,       1,       2,       0,       0,       2,       1, 781.9083, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 36.5328, 37531.4591, 0.7109
     20,      12,       2,       2,       0,       1,       2,    1991,       1,       2,       1,       0,       1,       1, 558.5527, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 40.3011, 41299.7501, 0.5312
     78,      13,       1,       2,       1,       2,       5,    1991,       1,       2,       2,       0,       2,       1, 491.5102, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 43.7024, 44701.0121, 0.3805
     84,      14,       2,       1,       0,       1,       6,    1991,       1,       2,       3,       0,       1,       1, 455.2667, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 47.5206, 48519.2180, 0.8913
     39,      15,       2,       2,       0,       1,       3,    1991,       1,       0,       0,       0,       2,       0, 553.7117, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 51.1720, 52170.6271, 0.7507
     21,      16,       1,       2,       1,       1,       2,    1991,       1,       1,       0,       0,       1,       1, 574.5585, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 54.3231, 55321.8110, 0.1890
     85,      17,       1,       2,       2,       1,       6,    1991,       1,       1,       0,       1,       1,       1, 702.5905, 21.0000, 50.0000, 59.0035, 21.0000, 51.0000, 58.0747, 59073.3411, 0.7383
     42,      18,       1,       2,       3,       2,       3,    1991,       1,       2,       0,       0,       2,       1, 499.6605, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 1.9596, 62958.2171, 0.7371
     68,      19,       2,       1,       0,       1,       5,    1991,       1,       2,       1,       0,       1,       1, 571.3036, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 5.4611, 66459.6920, 0.5513
     14,      20,       1,       1,       1,       2,       1,    1991,       1,       2,       2,       0,       2,       1, 733.4294, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 8.8623, 69860.8851, 0.3691
     72,      21,       2,       2,       0,       1,       5,    1991,       1,       2,       3,       0,       1,       1, 471.5567, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 12.7805, 73779.0492, 0.7335
     24,      22,       2,       1,       0,       1,       2,    1991,       1,       2,       4,       0,       1,       1, 640.1155, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 15.9650, 76963.6950, 0.2579
     53,      23,       1,       1,       1,       1,       4,    1991,       1,       1,       0,       0,       1,       1, 426.6000, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 19.3166, 80315.2561, 0.2633
     47,      24,       2,       2,       0,       2,       3,    1991,       1,       1,       0,       1,       2,       1, 549.6016, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 23.1013, 84099.8931, 0.9283
     56,      25,       2,       1,       0,       1,       4,    1991,       1,       2,       0,       0,       1,       1, 672.4014, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 26.3694, 87368.0360, 0.2674
      5,      26,       1,       1,       1,       1,       1,    1991,       1,       1,       0,       0,       1,       1, 682.8496, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 29.7705, 90769.1240, 0.3050
     41,      27,       1,       1,       2,       2,       3,    1991,       1,       0,       0,       0,       1,       0, 786.5696, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 33.0051, 94003.7460, 0.1120
     82,      28,       1,       1,       3,       1,       6,    1991,       1,       2,       0,       0,       1,       1, 568.1944, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 36.8233, 97821.9121, 0.6223
      7,      29,       2,       2,       0,       1,       1,    1991,       1,       1,       0,       0,       1,       1, 608.0060, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 40.6252, 101623.8530, 0.7836
      3,      30,       2,       1,       0,       1,       1,    1991,       1,       1,       0,       1,       1,       1, 586.5726, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 44.0762, 105074.8219, 0.3965
     11,      31,       2,       2,       0,       2,       1,    1991,       1,       1,       0,       2,       2,       1, 504.2186, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 47.4444, 108442.9891, 0.3416
     74,      32,       1,       2,       1,       2,       5,    1991,       1,       2,       0,       0,       2,       1, 604.2955, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 51.1789, 112177.6190, 0.7839
     65,      33,       1,       2,       2,       1,       5,    1991,       1,       1,       0,       0,       1,       1, 480.5546, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 54.5970, 115595.6411, 0.3766
     87,      34,       2,       1,       0,       1,       6,    1991,       1,       1,       0,       1,       1,       1, 476.7017, 21.0000, 50.0000, 59.0035, 21.0000, 52.0000, 57.8817, 118880.3761, 0.3643
     25,      35,       1,       1,       1,       2,       2,    1991,       1,       1,       0,       2,       2,       1, 525.9440, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 1.5664, 122565.0120, 0.7558
     38,      36,       1,       1,       2,       1,       3,    1991,       1,       2,       0,       0,       1,       1, 421.3188, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 5.5179, 126516.5491, 0.9730
     90,      37,       1,       1,       3,       2,       6,    1991,       1,       2,       1,       0,       2,       1, 483.2363, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 8.7860, 129784.7099, 0.4063
     44,      38,       2,       2,       0,       2,       3,    1991,       1,       2,       2,       0,       2,       1, 418.3717, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 12.3373, 133335.9292, 0.6060
     97,      39,       1,       2,       1,       1,       1,    1991,       1,       1,       0,       0,       1,       1, 456.7153, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 16.2055, 137204.1090, 0.9911
     80,      40,       2,       1,       0,       2,       5,    1991,       1,       0,       0,       0,       1,       0, 718.4734, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 19.6734, 140672.0932, 0.5604
     17,      41,       1,       1,       1,       1,       2,    1991,       1,       1,       0,       0,       1,       1, 551.2731, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 23.6918, 144690.4471, 0.8907
     13,      42,       1,       1,       2,       2,       1,    1991,       1,       1,       0,       1,       2,       1, 596.2486, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 27.2433, 148241.8640, 0.5510
     62,      43,       1,       1,       3,       2,       4,    1991,       1,       2,       0,       0,       2,       1, 484.1359, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 30.6612, 151659.8201, 0.3714
     46,      44,       1,       1,       4,       2,       3,    1991,       1,       2,       1,       0,       2,       1, 546.3393, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 34.5294, 155528.1210, 0.9302
     96,      45,       2,       2,       0,       2,       6,    1991,       1,       2,       2,       0,       2,       1, 674.4251, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 37.9807, 158979.3401, 0.4477
     22,      46,       1,       2,       1,       1,       2,    1991,       1,       2,       3,       0,       1,       1, 569.7675, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 41.2990, 162297.5700, 0.2008
      4,      47,       2,       1,       0,       1,       1,    1991,       1,       2,       4,       0,       1,       1, 571.7607, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 45.0002, 165998.8611, 0.6771
     54,      48,       1,       1,       1,       1,       4,    1991,       1,       2,       5,       0,       1,       1, 558.1656, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 48.3851, 169383.6741, 0.3653
     69,      49,       1,       1,       2,       1,       5,    1991,       1,       1,       0,       0,       1,       1, 534.6587, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 52.1529, 173151.5520, 0.7451
     57,      50,       1,       1,       3,       2,       4,    1991,       1,       1,       0,       1,       2,       1, 515.9953, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 56.1047, 177103.2801, 0.9762
     31,      51,       2,       2,       0,       2,       2,    1991,       1,       1,       0,       2,       2,       1, 661.2575, 21.0000, 50.0000, 59.0035, 21.0000, 53.0000, 59.4228, 180421.3941, 0.3491
     59,      52,       2,       1,       0,       2,       4,    1991,       1,       1,       0,       3,       2,       1, 501.0414, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 2.8239, 183822.5131, 0.2985
     81,      53,       1,       1,       1,       1,       6,    1991,       1,       1,       0,       4,       1,       1, 748.4255, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 6.7421, 187740.7470, 0.9689
     27,      54,       2,       2,       0,       2,       2,    1991,       1,       1,       0,       5,       2,       1, 600.7094, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 10.4939, 191492.4600, 0.5521
     28,      55,       2,       1,       0,       2,       2,    1991,       1,       2,       0,       0,       2,       1, 537.6809, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 14.2951, 195293.6959, 0.7563
     61,      56,       1,       1,       1,       2,       4,    1991,       1,       1,       0,       0,       2,       1, 479.1954, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 17.6965, 198695.1501, 0.4144
     70,      57,       1,       1,       2,       1,       5,    1991,       1,       2,       0,       0,       1,       1, 604.0215, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 20.7811, 201779.7170, 0.1419
     50,      58,       1,       1,       3,       1,       4,    1991,       1,       2,       1,       0,       1,       1, 472.6253, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 24.4992, 205497.8809, 0.6558
     35,      59,       2,       2,       0,       1,       3,    1991,       1,       1,       0,       0,       1,       1, 779.3164, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 27.8173, 208815.8801, 0.4108
     83,      60,       2,       1,       0,       1,       6,    1991,       1,       1,       0,       1,       1,       1, 632.0345, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 31.9853, 212983.9971, 0.9346
     66,      61,       1,       1,       1,       1,       5,    1991,       1,       2,       0,       0,       1,       1, 574.2836, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 35.9870, 216985.6391, 0.9209
     89,      62,       1,       1,       2,       2,       6,    1991,       1,       1,       0,       0,       2,       1, 510.6432, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 39.7552, 220753.8040, 0.7370
     79,      63,       2,       2,       0,       2,       5,    1991,       1,       1,       0,       1,       2,       1, 673.4335, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 43.6568, 224655.4151, 0.9335
     48,      64,       2,       1,       0,       2,       3,    1991,       1,       2,       0,       0,       2,       1, 602.8073, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 47.7583, 228756.9730, 0.9860
     67,      65,       2,       2,       0,       1,       5,    1991,       1,       1,       0,       0,       1,       1, 649.0133, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 51.5099, 232508.5001, 0.7036
     93,      66,       1,       2,       1,       2,       6,    1991,       1,       1,       0,       1,       2,       1, 464.7360, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 54.8777, 235876.3721, 0.2611
     36,      67,       2,       1,       0,       1,       3,    1991,       1,       2,       0,       0,       1,       1, 557.1003, 21.0000, 50.0000, 59.0035, 21.0000, 54.0000, 57.9126, 238911.1931, 0.1143
     55,      68,       2,       2,       0,       1,       4,    1991,       1,       1,       0,       0,       1,       1, 638.1073, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 1.0802, 242078.8860, 0.1705
     23,      69,       2,       1,       0,       1,       2,    1991,       1,       1,       0,       1,       1,       1, 716.5177, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 4.5482, 245546.8640, 0.3805
     26,      70,       1,       1,       1,       2,       2,    1991,       1,       2,       0,       0,       2,       1, 602.3135, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 8.1665, 249165.1821, 0.4531
     52,      71,       2,       2,       0,       1,       4,    1991,       1,       2,       1,       0,       1,       1, 700.7277, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 11.8010, 252799.6972, 0.5954
     37,      72,       1,       2,       1,       1,       3,    1991,       1,       1,       0,       0,       1,       1, 549.9468, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 15.9193, 256917.9850, 0.9563
     58,      73,       1,       2,       2,       2,       4,    1991,       1,       2,       0,       0,       2,       1, 478.2839, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 19.5209, 260519.5391, 0.6021
     92,      74,       2,       1,       0,       2,       6,    1991,       1,       2,       1,       0,       2,       1, 505.8775, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 23.2726, 264271.1630, 0.8229
     63,      75,       2,       2,       0,       2,       4,    1991,       1,       1,       0,       0,       2,       1, 603.8606, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 26.4570, 267455.5681, 0.2330
     15,      76,       2,       1,       0,       2,       1,    1991,       1,       1,       0,       1,       2,       1, 706.1195, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 30.3085, 271307.0831, 0.7905
     71,      77,       2,       2,       0,       1,       5,    1991,       1,       1,       0,       2,       1,       1, 601.1865, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 34.1099, 275108.5660, 0.6250
     40,      78,       2,       1,       0,       1,       3,    1991,       1,       0,       0,       0,       2,       0, 737.2637, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 37.9118, 278910.4521, 0.7494
     94,      79,       1,       1,       1,       2,       6,    1991,       1,       2,       0,       0,       2,       1, 582.3536, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 42.0464, 283045.0389, 0.9745
     64,      80,       2,       2,       0,       2,       4,    1991,       1,       2,       1,       0,       2,       1, 637.9228, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 45.3143, 286312.9551, 0.2425
     95,      81,       2,       1,       0,       2,       6,    1991,       1,       1,       0,       0,       2,       1, 848.6893, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 48.7992, 289797.8079, 0.4111
     12,      82,       2,       2,       0,       2,       1,    1991,       1,       2,       0,       0,       2,       1, 766.2501, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 52.2171, 293215.7300, 0.1283
      8,      83,       2,       1,       0,       1,       1,    1991,       1,       2,       1,       0,       1,       1, 569.8378, 21.0000, 50.0000, 59.0035, 21.0000, 55.0000, 56.3022, 297300.8411, 0.8716
     16,      84,       2,       2,       0,       2,       1,    1991,       1,       2,       2,       0,       2,       1, 491.2169, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 0.0869, 301085.5021, 0.7783
     60,      85,       2,       1,       0,       2,       4,    1991,       1,       2,       3,       0,       2,       1, 695.2827, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 3.9883, 304986.9161, 0.9607
     34,      86,       1,       1,       1,       1,       3,    1991,       1,       0,       0,       0,       2,       0, 580.8766, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 7.8231, 308821.8031, 0.6814
     49,      87,       1,       1,       2,       1,       4,    1991,       1,       1,       0,       0,       1,       1, 616.4246, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 10.9747, 311973.2940, 0.1577
     29,      88,       1,       1,       3,       2,       2,    1991,       1,       1,       0,       1,       2,       1, 540.0319, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 14.6762, 315674.7811, 0.6386
     33,      89,       1,       1,       4,       1,       3,    1991,       1,       1,       0,       2,       1,       1, 506.0575, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 17.8939, 318892.4730, 0.2355
     88,      90,       2,       2,       0,       1,       6,    1991,       1,       2,       0,       0,       1,       1, 974.4337, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 21.7287, 322727.3490, 0.8895
     32,      91,       2,       1,       0,       2,       2,    1991,       1,       2,       1,       0,       2,       1, 547.0715, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 25.3801, 326378.8061, 0.2327
     10,      92,       1,       1,       1,       2,       1,    1991,       1,       2,       2,       0,       2,       1, 541.0526, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 28.8147, 329813.4069, 0.4366
     51,      93,       2,       2,       0,       1,       4,    1991,       1,       1,       0,       0,       1,       1, 734.5562, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 32.4830, 333481.6201, 0.6670
     76,      94,       2,       1,       0,       2,       5,    1991,       1,       2,       0,       0,       2,       1, 564.4875, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 35.8844, 336882.9300, 0.1983
     73,      95,       1,       1,       1,       2,       5,    1991,       1,       1,       0,       0,       2,       1, 502.0456, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 39.2691, 340267.7031, 0.3588
      2,      96,       1,       1,       2,       1,       1,    1991,       1,       2,       0,       0,       1,       1, 693.9700, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 43.0372, 344035.7821, 0.8188
      9,      97,       1,       1,       3,       2,       1,    1991,       1,       1,       0,       0,       2,       1, 572.7937, 21.0000, 50.0000, 59.0035, 21.0000, 56.0000, 46.6552, 347653.8780, 0.4703
